title, date, reviews, discount, original price, discounted price
LEGO Harry Potter: Years 1-4,25 Jun 2010,Mostly Positive,,CDN$ 19.99,
Niche - a genetics survival game,21 Sep 2017,Very Positive,,CDN$ 19.99,
SUPERHOT,25 Feb 2016,Very Positive,,CDN$ 34.99,
Project Zomboid,8 Nov 2013,Very Positive,,CDN$ 16.99,
The Lord of the Rings Online™,6 Jun 2012,Very Positive,,Play for Free!,
Draft Day Sports: Pro Basketball 2019,13 Nov 2018,,,CDN$ 39.99,
SoulWorker - Anime Action MMO,26 Feb 2018,Mostly Positive,,Free to Play,
Poly Bridge,12 Jul 2016,Very Positive,,CDN$ 11.49,
Eternal Card Game,15 Nov 2018,Mostly Positive,,Free To Play,
STAR WARS™ - Knights of the Old Republic™,5 Sep 2009,Very Positive,,CDN$ 11.49,
Grand Theft Auto: San Andreas,4 Jan 2008,Very Positive,,CDN$ 16.99,
